Name,Start X,Start Y,End X,End Y,Length
Line,61459,24843,62959,24843,1500
Line,61459,27011,62959,27011,1500
Line,61459,15505,60559,15505,900
Line,61459,21567,62959,21567,1500
Line,59659,21548,60559,21548,900
Line,61459,21567,60559,21567,900
Line,60559,21567,60559,24843,3276
Line,59659,21548,58159,21548,1500
Line,59659,14990,60559,14990,900
Line,57126,11417,57658,11417,532
Line,56320,12317,56320,11417,900
Line,59659,14990,58159,14990,1500
Line,56320,12317,56320,13817,1500
Line,61459,11666,60559,11666,900
Line,60559,11417,60559,11666,249
Line,56320,11417,57126,11417,807
Line,60559,11666,60559,14990,3324
Line,59659,25725,58159,25725,1500
Line,41092,31767,40957,31767,135
Line,41092,33667,41092,35167,1500
Line,41092,33667,41092,31767,1900
Line,40957,29867,40957,31767,1900
Line,49540,30867,49540,31767,900
Line,49540,30867,49540,29367,1500
Line,53487,31767,50015,31767,3472
Line,50015,32667,50015,34167,1500
Line,49540,31767,41092,31767,8449
Line,60559,24843,60559,25725,881
Line,61459,24843,60559,24843,900
Line,60559,25725,60559,27011,1286
Line,59659,25725,60559,25725,900
Line,55843,31767,60559,31767,4717
Line,57126,52117,53570,52117,3556
Line,61459,27011,60559,27011,900
Line,60559,56315,60559,54143,2987
Line,37963,12317,37963,11417,900
Line,41929,11417,44148,11417,2219
Line,36887,11417,37963,11417,1076
Line,37963,12317,37963,13817,1500
Line,41929,12317,41929,11417,900
Line,46362,11417,51221,11417,4859
Line,41929,12317,41929,13817,1500
Line,40592,11417,41929,11417,1337
Line,37963,11417,40592,11417,2630
Line,40592,10517,40592,9017,1500
Line,44148,10517,44148,9017,1500
Line,53570,10517,53570,11417,900
Line,36887,10517,36887,9017,1500
Line,53570,10517,53570,9017,1500
Line,44148,11417,45978,11417,1830
Line,46362,10517,46362,9017,1500
Line,51381,9017,51381,10517,1500
Line,45978,12317,45978,13817,1500
Line,61459,9429,60559,9429,900
Line,60559,15505,60559,21548,6043
Line,57126,10517,57126,9017,1500
Line,60559,9429,60559,7219,2209
Line,60559,14990,60559,15505,516
Line,57658,11417,60559,11417,2901
Line,61459,11666,62959,11666,1500
Line,61459,15505,62959,15505,1500
Line,61459,9429,62959,9429,1500
Line,51381,11417,53570,11417,2189
Line,51221,12317,51221,13817,1500
Line,45978,12317,45978,11417,900
Line,45978,11417,46362,11417,384
Line,60559,11417,60559,9429,1989
Line,57126,10517,57126,11417,900
Line,51221,12317,51221,11417,900
Line,51221,11417,51381,11417,160
Line,60559,36230,60559,31822,4408
Line,60559,31822,61459,31822,900
Line,61459,31822,63606,31822,2147
Line,61459,36230,62959,36230,1500
Line,61459,38419,62959,38419,1500
Line,61459,42238,62959,42238,1500
Line,60559,31767,60559,31822,55
Line,60559,36230,61459,36230,900
Line,60559,38419,60559,36230,2189
Line,51356,53017,51356,54517,1500
Line,53354,52117,51356,52117,1997
Line,53354,51217,53354,49717,1500
Line,53570,52117,53354,52117,217
Line,53570,53017,53570,52117,900
Line,60559,47889,60559,42238,5650
Line,51356,53017,51356,52117,900
Line,53570,53017,53570,54517,1500
Line,59659,41464,58159,41464,1500
Line,57126,53017,57126,54517,1500
Line,57126,52117,57126,53017,900
Line,61459,47889,60559,47889,900
Line,57126,52117,60559,52117,3433
Line,60559,51918,60559,52117,199
Line,60559,54143,61459,54143,900
Line,60559,52117,60559,54143,2025
Line,60559,51918,61459,51918,900
Line,60559,47889,60559,51918,4029
Line,60559,41464,59659,41464,900
Line,60559,42238,61459,42238,900
Line,60559,41464,60559,38419,3045
Line,60559,38419,61459,38419,900
Line,61459,51918,62959,51918,1500
Line,61459,47889,62959,47889,1500
Line,60559,42238,60559,41464,774
Line,61459,54143,62959,54143,1500
Line,54505,31767,53487,31767,1018
Line,54505,33363,53927,33363,578
Line,54505,33386,55080,33386,575
Line,54505,31767,54505,33363,1596
Line,54505,34614,54505,35614,1000
Line,46362,52117,44343,52117,2019
Line,54505,33386,54505,33363,23
Line,55080,33386,56080,33386,1000
Line,55843,31767,54505,31767,1337
Line,54505,34614,54505,33386,1228
Line,53927,33363,52927,33363,1000
Line,50015,32667,50015,31767,900
Line,50015,31767,49540,31767,475
Line,53487,30867,53487,29367,1500
Line,55843,30867,55843,29367,1500
Line,53487,30867,53487,31767,900
Line,55843,31767,55843,30867,900
Line,40705,52117,39646,52117,1059
Line,46928,51217,46928,52117,900
Line,46928,51217,46928,49717,1500
Line,44343,52117,44148,52117,195
Line,51356,52117,46928,52117,4428
Line,46362,53017,46362,52117,900
Line,53354,51217,53354,52117,900
Line,46362,53017,46362,54517,1500
Line,46928,52117,46362,52117,566
Line,44148,53017,44148,52117,900
Line,40705,51217,40705,52117,900
Line,44343,51217,44343,52117,900
Line,39646,53017,39646,54517,1500
Line,39646,53017,39646,52117,900
Line,44148,52117,40705,52117,3443
Line,44148,53017,44148,54517,1500
Line,40705,51217,40705,49717,1500
Line,44343,51217,44343,49717,1500
Line,14259,17242,13359,17242,900
Line,18830,11417,21173,11417,2343
Line,13359,19621,13359,17242,2379
Line,13359,17242,13359,15615,1626
Line,13359,26388,13359,23700,2687
Line,14259,21428,15759,21428,1500
Line,21173,12317,21173,13817,1500
Line,21173,12317,21173,11417,900
Line,14259,17242,15759,17242,1500
Line,13359,15615,13359,13394,2221
Line,16258,11417,13359,11417,2899
Line,13359,21428,13359,19621,1807
Line,17083,11417,18830,11417,1746
Line,16258,11417,17083,11417,825
Line,17083,12317,17083,11417,900
Line,13359,13394,13359,11417,1977
Line,17083,12317,17083,13817,1500
Line,13359,23700,13359,21428,2273
Line,29201,11417,30272,11417,1071
Line,33038,7965,32538,7965,500
Line,29201,12317,29201,13817,1500
Line,29201,12317,29201,11417,900
Line,12459,36150,13359,36150,900
Line,12459,47919,13359,47919,900
Line,12459,42185,13359,42185,900
Line,12459,39834,13359,39834,900
Line,30272,11417,33947,11417,3675
Line,13359,27384,13359,26388,996
Line,14259,26388,13359,26388,900
Line,14259,21428,13359,21428,900
Line,14259,26388,15759,26388,1500
Line,26921,12317,26921,11417,900
Line,33947,11417,33947,16169,4751
Line,26921,11417,29201,11417,2280
Line,26921,12317,26921,13817,1500
Line,12459,13394,13359,13394,1383
Line,12459,9329,13359,9322,1364
Line,12459,19621,13359,19621,900
Line,12459,15615,13359,15615,900
Line,12459,19621,10959,19621,1500
Line,12459,23700,10959,23700,1500
Line,12459,9329,10959,9329,1500
Line,12459,15615,10959,15615,1500
Line,12459,23700,13359,23700,900
Line,40957,31767,34059,31767,6898
Line,33947,11417,36887,11417,2940
Line,24902,11417,26921,11417,2019
Line,39646,52117,33947,52117,5699
Line,33038,7965,33947,7965,1507
Line,12459,27384,13359,27384,900
Line,34059,30125,34059,27717,2407
Line,13359,36150,13359,27384,8766
Line,12459,27384,10959,27384,1500
Line,24902,10517,24902,9017,1500
Line,30272,10517,30272,9017,1500
Line,16258,10517,16258,9017,1500
Line,18830,10517,18830,9017,1500
Line,33947,6802,33947,7965,1180
Line,21173,11417,24902,11417,3729
Line,33038,9201,32538,9201,500
Line,33947,9201,33947,7965,1277
Line,33038,9201,33947,9201,1049
Line,13359,11417,13359,9322,2332
Line,16258,10517,16258,11417,900
Line,12459,13394,10959,13394,1500
Line,33947,11417,33947,9201,2278
Line,30272,10517,30272,11417,900
Line,13359,9322,13359,7227,2332
Line,18830,10517,18830,11417,900
Line,24902,10517,24902,11417,900
Line,26921,51217,26921,52117,900
Line,26921,51217,26921,49717,1500
Line,33947,56732,33947,52117,4615
Line,29201,52117,26921,52117,2280
Line,24902,53017,24902,52117,900
Line,33938,47366,33938,52117,4751
Line,26921,52117,24902,52117,2019
Line,24902,53017,24902,54517,1500
Line,18830,53017,18830,52117,900
Line,17083,52117,16258,52117,825
Line,16258,53017,16258,52117,900
Line,13359,54205,13359,52117,2088
Line,16258,53017,16258,54517,1500
Line,21173,52117,18830,52117,2343
Line,18830,53017,18830,54517,1500
Line,21173,51217,21173,52117,900
Line,21173,51217,21173,49717,1500
Line,29201,51217,29201,52117,900
Line,53570,11417,56320,11417,2750
Line,36887,10517,36887,11417,900
Line,60559,27011,60559,31767,4756
Line,40957,29867,40957,28367,1500
Line,46362,10517,46362,11417,900
Line,51381,10517,51381,11417,900
Line,40592,10517,40592,11417,900
Line,44148,10517,44148,11417,900
Line,33038,55594,32538,55594,500
Line,30200,53017,30200,54517,1500
Line,30200,53017,30200,52117,900
Line,29201,51217,29201,49717,1500
Line,30200,52117,33938,52117,3738
Line,33038,55594,33947,55594,909
Line,33038,54334,32538,54334,500
Line,30200,52117,29201,52117,1000
Line,33038,54334,33947,54334,909
Line,13359,37147,13359,36150,996
Line,14259,37147,13359,37147,900
Line,13359,39834,13359,37147,2687
Line,14259,37147,15759,37147,1500
Line,13359,42107,13359,39834,2273
Line,14259,42107,13359,42107,900
Line,13359,46293,13359,42185,4108
Line,14259,42107,15759,42107,1500
Line,13359,47919,13359,46293,1626
Line,12459,36150,10959,36150,1500
Line,12459,39834,10959,39834,1500
Line,12459,50140,13359,50140,900
Line,12459,54205,13359,54205,900
Line,12459,50140,10959,50140,1500
Line,12459,54205,10959,54205,1500
Line,12459,42185,10959,42185,1500
Line,12459,47919,10959,47919,1500
Line,13359,42185,13359,42107,78
Line,18830,52117,17083,52117,1746
Line,13359,52117,13359,50140,1977
Line,24902,52117,21173,52117,3729
Line,13359,56307,13359,54205,2102
Line,17083,51217,17083,49717,1500
Line,16258,52117,13359,52117,2899
Line,17083,51217,17083,52117,900
Line,13359,50140,13359,47919,2221
Line,34059,31767,34059,33390,1623
Line,34059,33390,34059,35817,2427
Line,32859,33390,31359,33390,1500
Line,14259,46293,15759,46293,1500
Line,14259,46293,13359,46293,900
Line,32859,30125,34059,30125,1200
Line,32859,33390,34059,33390,1200
Line,32859,30125,31359,30125,1500
Line,34059,31767,34059,30125,1643